"Order ID: ",1e48cdff630
"Order Time: ","19-Oct-2020 15:00:00"

"Product Name","Product Quantity","Product Price","Product Sub-total","Products Serial"
"Spanish Omelette",2,"320 BDT","640 BDT"
Samosa,2,"80 BDT","160 BDT"

"Grand: ","800 Tk"
"Vat: ","40 Tk"
"Extra Note and Add/Less Details","-40 Tk"
"Order Total Price: ","800 Tk"

"Order User Details: ",
"User Name","User Phone","User Address"
,,
