"Order ID: ",a781905e288
"Order Time: ","22-Oct-2020 01:07:45"

"Product Name","Product Quantity","Product Price","Product Sub-total","Products Serial"
"Pupps Nuggs Chili Cheese",1,"510 BDT","510 BDT"
Nugget,1,"320 BDT","320 BDT"

"Grand: ","830 Tk"
"Vat: ","41.5 Tk"
"Extra Note and Add/Less Details","10 Tk"
"Order Total Price: ","881.5 Tk"

"Order User Details: ",
"User Name","User Phone","User Address"
,,
