"Order ID: ",8d4b58a8174
"Order Time: ","10-Oct-2020 00:17:22"

"Product Name","Product Quantity","Product Price","Product Sub-total","Products Serial"
"Spanish Omelette 2",1,"220 BDT","220 BDT"
Sandwich,1,"150 BDT","150 BDT"
"Pupps Nuggs Chili Cheese",1,"510 BDT","510 BDT"
Pizza,1,"650 BDT","650 BDT"
"French Fry",1,"120 BDT","120 BDT"

"Grand: ","1650 Tk"
"Vat: ","165 Tk"
Extra," Tk"
"Order Total Price: ","1815 Tk"

"Order User Details: ",
"User Name","User Phone","User Address"
,,
