"Order ID: ",a2347617417
"Order Time: ","22-Oct-2020 17:26:08"

"Product Name","Product Quantity","Product Price","Product Sub-total","Products Serial"
"Pupps Nuggs Chili Cheese",1,"510 BDT","510 BDT"
Nugget,1,"320 BDT","320 BDT"

"Grand: ","830 Tk"
"Vat: ","41.5 Tk"
Extra,"0 Tk"
"Order Total Price: ","871.5 Tk"

"Order User Details: ",
"User Name","User Phone","User Address"
,,
